sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
MB.5551	0.080312707	0.122918211	0.143850615	0.10657822	0.042197437	0.453849524
MB.5560	0.073390691	0.121887631	0.157260218	0.126798961	0.060392636	0.464125777
MB.5529	0.074111466	0.133544194	0.187792033	0.119180082	0.059607041	0.482579544
MB.4408	0.0989287	0.15979042	0.160690762	0.123788203	0.020240581	0.479726815
MB.4146	0.168656806	0.232539507	0.194118406	0.1280376	0.023043427	0.499324238
MB.2963	0.072244093	0.132010728	0.21375604	0.129222716	0.111940799	0.525977193
MB.2957	0.090204116	0.124530188	0.194964991	0.127281246	0.042791224	0.525640436
MB.3063	0.06143135	0.11820904	0.168567407	0.120408485	0.067826817	0.483796074
MB.3046	0.099545919	0.131166537	0.163956035	0.114700524	0.058622838	0.467041385
MB.3067	0.124447122	0.15409631	0.244199956	0.135744756	0.043955804	0.555064475
MB.2754	0.096392001	0.104561036	0.195945495	0.106586744	0.064245895	0.454042849
MB.2753	0.086209126	0.113451793	0.165362582	0.109370191	0.066672384	0.484390368
MB.3014	0.094255935	0.126563684	0.19020516	0.134667225	0.031198714	0.513757068
MB.3476	0.118149493	0.176544897	0.231574279	0.136085481	0.014080268	0.579100323
MB.3277	0.104975502	0.126243513	0.173339849	0.128699257	0.042802431	0.509051636
MB.3271	0.091255029	0.11966188	0.185633323	0.140009444	0.043563841	0.540236628
MB.3292	0.133089298	0.148480724	0.208432017	0.12932336	0.054845574	0.527840956
MB.2556	0.058071737	0.114005571	0.219741192	0.109565357	0.07112204	0.513171861
MB.2922	0.075263937	0.112579287	0.171797512	0.117969521	0.054284706	0.48247948
MB.2917	0.073126796	0.114201427	0.179857788	0.127978901	0.051287393	0.499750807
MB.3706	0.076201327	0.123666137	0.173741586	0.128626614	0.050066031	0.523268503
MB.3453	0.078567506	0.121105226	0.162767974	0.117895764	0.048706137	0.478279102
MB.2842	0.070011901	0.106649295	0.173138982	0.126740284	0.045317352	0.483893501
MB.2912	0.089647031	0.125316606	0.226491929	0.13000275	0.038634666	0.524561059
MB.2849	0.086731568	0.148482435	0.213521524	0.121137123	0.04237431	0.518620999
MB.3058	0.064640912	0.110179783	0.197611031	0.126146029	0.063095065	0.498778687
MB.3057	0.085897547	0.113045747	0.193954298	0.13730125	0.029705153	0.507822834
MB.3395	0.131210931	0.140647759	0.247653965	0.133390459	0.073398657	0.532443498
MB.3123	0.055664325	0.113473159	0.168441291	0.117287799	0.030175329	0.496364754
MB.2834	0.082626133	0.125051683	0.197403483	0.123015108	0.061327647	0.493019753
MB.2857	0.11317536	0.138084857	0.266004355	0.145701292	0.078007139	0.55652978
MB.2827	0.11087767	0.158081544	0.18875109	0.128194532	0.03211688	0.528782032
MB.3702	0.090430314	0.12962793	0.2074727	0.12726586	0.051118874	0.506798036
MB.3502	0.084889333	0.097573699	0.200488182	0.130992792	0.068173042	0.506827951
MB.3567	0.116152348	0.144389307	0.222094416	0.130050445	0.063628377	0.520431521
MB.3752	0.224176864	0.172499118	0.269646912	0.139294435	0.06229124	0.549073992
MB.0079	0.078799607	0.094339958	0.202464281	0.118290523	0.06865944	0.468915391
MB.0062	0.067679193	0.098920968	0.193795269	0.141608474	0.029599723	0.525336733
MB.4015	0.067079316	0.102270311	0.163411532	0.117948783	0.050410024	0.478230796
MB.2929	0.083244185	0.098376121	0.195439623	0.114304147	0.077626787	0.495473851
MB.2724	0.237632577	0.29338743	0.249550133	0.150075563	0.020584225	0.600924828
MB.3062	0.07373264	0.143782308	0.217309893	0.138060613	0.095735107	0.536010223
MB.4707	0.076866019	0.105446065	0.162200518	0.112069136	0.047322079	0.457977873
MB.3383	0.070651165	0.105572871	0.15491426	0.115433914	0.070251608	0.487664541
MB.3297	0.114158634	0.11911007	0.196247892	0.11785225	0.041815519	0.506524361
MB.7114	0.08775199	0.124913407	0.184439128	0.129686713	0.040554989	0.518798358
MB.7208	0.115982859	0.125147826	0.244659406	0.120447866	0.03779994	0.498663347
MB.7252	0.16851818	0.17351791	0.226397149	0.120761677	0.047245825	0.522216976
MB.3001	0.079410387	0.121889982	0.186146331	0.117660483	0.043763026	0.519503201
MB.7066	0.086424094	0.111314075	0.177395682	0.09448464	0.035302474	0.450342154
MB.7057	0.092819106	0.092792475	0.191932515	0.106160068	0.04061944	0.444425715
MB.7023	0.062464049	0.11129066	0.208607979	0.132459366	0.104564768	0.517669974
MB.7017	0.100164085	0.136785784	0.196878598	0.131409835	0.043269038	0.539150509
MB.3500	0.076109434	0.099309627	0.190094846	0.152235493	0.048339918	0.527364711
MB.3396	0.057508828	0.128019539	0.169432879	0.12408048	0.073320199	0.508085331
MB.7145	0.070184472	0.118530618	0.174665189	0.117517216	0.058047076	0.475719102
MB.7155	0.092514557	0.127206314	0.200506747	0.121820153	0.028751881	0.495482003
MB.3218	0.080384944	0.128332414	0.224013924	0.126192169	0.060028688	0.529351256
MB.7270	0.113536893	0.124320964	0.196419076	0.117481919	0.030211546	0.471034619
MB.7269	0.095360389	0.14527559	0.200802652	0.125504062	0.032098608	0.510565771
MB.7008	0.066365595	0.104443182	0.222541583	0.113391794	0.114192943	0.504559174
MB.7007	0.071321109	0.119911111	0.190927315	0.118998324	0.05307565	0.507582328
MB.7009	0.076475847	0.111473668	0.178864956	0.123905876	0.06217929	0.488217552
MB.3153	0.086273407	0.131444502	0.160694634	0.115937107	0.008116068	0.492397636
MB.3211	0.082109992	0.130642664	0.190504535	0.120120932	0.059197155	0.481022276
MB.7081	0.132131093	0.136256114	0.263657814	0.154908176	0.088219303	0.561842469
MB.7055	0.08257178	0.080574872	0.165305547	0.102951565	0.029417633	0.413173068
MB.7121	0.13144598	0.163500029	0.237559004	0.138237834	0.042009296	0.527580015
MB.2771	0.085101788	0.083244887	0.176809463	0.113479332	0.030566086	0.45912544
MB.7158	0.153128167	0.145887526	0.214441268	0.147425752	0.053161372	0.511534908
MB.7258	0.067806796	0.119996956	0.152087809	0.114747309	0.0198824	0.446188455
MB.2993	0.105133016	0.12485886	0.211363977	0.118324868	0.05418735	0.499694835
MB.2904	0.108077597	0.126854306	0.195015114	0.125559038	0.055165552	0.52986713
MB.7154	0.069391326	0.132270139	0.231360935	0.131364243	0.029562269	0.51211755
MB.7151	0.095491876	0.113453994	0.137998109	0.089238088	0.046052478	0.426353563
MB.7165	0.070556315	0.12299967	0.170021498	0.120243422	0.000261095	0.494569239
MB.2850	0.107974052	0.155049086	0.253717193	0.146626227	0.048907914	0.571235673
MB.7267	0.104005901	0.121464951	0.156688706	0.107293427	0.036736464	0.477435556
MB.2833	0.154386967	0.17149245	0.255244433	0.13405393	0.065222679	0.536954976
MB.7052	0.123129543	0.153572898	0.204452292	0.124899636	0.023711205	0.542216807
MB.7090	0.06695838	0.111606486	0.154202883	0.108788769	0.015270375	0.45667276
MB.7087	0.077507415	0.117153629	0.181555263	0.123522685	0.029270144	0.503129201
MB.7025	0.075416891	0.15523073	0.24088386	0.141093474	0.120727454	0.562682614
MB.7036	0.066788292	0.122055992	0.174683403	0.12963343	0.039933188	0.515464359
MB.4769	0.065581255	0.10502546	0.156807366	0.114244399	0.036914942	0.4694459
MB.4793	0.071917967	0.132137703	0.176468764	0.128753292	0.041143042	0.486268971
MB.4679	0.118604516	0.137620488	0.202331416	0.132714754	0.033223833	0.515282389
MB.4660	0.098025093	0.113910941	0.156758779	0.108762468	0	0.432327179
MB.2718	0.083357444	0.130185609	0.197389159	0.13682165	0.025392596	0.537188711
MB.2643	0.057517011	0.157515672	0.20007889	0.140175516	0.144629912	0.629544848
